id	locationID	countryCode	establishmentMeans	occurrenceRemarks
264	BR-AM	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia"]}
264	BR-AC	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia"]}
264	BR-PA	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia"]}
280	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
285	BR-ES	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
285	BR-RJ	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
285	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Mata Atlântica"]}
301	BR-MT	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia"]}
301	BR-AC	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia"]}
315	BR-MA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia"]}
315	BR-PA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Amazônia"]}
319	BR-AM	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Amazônia"]}
342	BR-SE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga"]}
342	BR-PI	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga"]}
342	BR-MG	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga"]}
342	BR-PE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga"]}
342	BR-CE	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga"]}
342	BR-BA	BR	NATIVA	{"endemism":"Endemica","phytogeographicDomain":["Caatinga"]}
343	BR-MS	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica"]}
343	BR-PR	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica"]}
343	BR-RS	BR	NATIVA	{"endemism":"Não endemica","phytogeographicDomain":["Cerrado","Mata Atlântica"]}
