id	identifier	bibliographicCitation	title	creator	date	type
264		Arch. Jard. Bot. Rio de Janeiro,3: 187,1922	Arch. Jard. Bot. Rio de Janeiro	Ducke, A.	1922	original description
268		Mém. Mus. Hist. Nat.,10: 359,1823	Mém. Mus. Hist. Nat.		1823	
269		Bull. Soc. Philom. Paris,10: 130,1823	Bull. Soc. Philom. Paris	Saint-Hilaire, A.F.C.P.	1823	
270		Gen. Hist.,1: 798,1831	Gen. Hist.	Don, G.	1831	
271		Mém. Mus. Hist. Nat.,10: 394,1824	Mém. Mus. Hist. Nat.		1824	
272		Recueil Trav. Bot. Néerl.,9: 142,1912	Recueil Trav. Bot. Néerl.		1912	
273		Ann. Sci. Nat., Bot.,ser. 2, 17: 138,1842	Ann. Sci. Nat., Bot.	Saint-Hilaire, A. & Tulasne	1842	
274		Bull. Soc. Philom. Paris,3: 130,1823	Bull. Soc. Philom. Paris		1823	
275		Bradea,4(46): 362,1987	Bradea		1987	
276		Bull. Soc. Philom. Paris,10: 359,1823	Bull. Soc. Philom. Paris		1823	
277		Bull. Soc. Philom. Paris,10: 130,1823	Bull. Soc. Philom. Paris		1823	
280		Brittonia,50(1): 59,1998	Brittonia	Kallunki, J.A.	1998	original description
282		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
283		Rev. bras. bot.,59(4): 1085,1990	Rev. bras. bot.		1990	
284		Kew Bull.,53(2): 261-263, f. 1G-J,1998	Kew Bull.		1998	
285		Kew Bull.,53(2): 263,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
286		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
287		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
288		Syst. Veg.,4: 188,1819	Syst. Veg.		1819	
289		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
290		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
291		Acta Amazonica,11(4): 850,1981	Acta Amazonica		1981	
292		Acta Amazonica,11(4): 850,1981	Acta Amazonica		1981	
293		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
294		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
295		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
296		Kew Bull.,53(2): 263,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
298		Revista Brasil. Biol.,50(4): 1086,1990	Revista Brasil. Biol.		1990	
299		Ann. Missouri Bot. Gard.,75: 375,1988	Ann. Missouri Bot. Gard.		1988	
300		Acta Amazonica,11: 850,1981	Acta Amazonica		1981	
301		Kew Bull.,53(2): 263,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	
302		Acta Amazonica,11: 851,1981	Acta Amazonica		1981	
303		Acta Amazonica,11(4): 851,1981	Acta Amazonica		1981	
304		Revista Brasil. Biol.,50(4): 1087,1990	Revista Brasil. Biol.	Rizzini, C.T.	1990	original description
305		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
306		Ann. Missouri Bot. Gard.,66(2): 125, f. 1,1979	Ann. Missouri Bot. Gard.	Elias, T.S.	1979	
307		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
308		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
309		Fl. Ilustr. Catarin.,Rutaceae: 51,1973	Fl. Ilustr. Catarin.	Cowan, R. S. & Smith, L.B.	1973	
310		Acta Amazonica,11(4): 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
311		Ann. Missouri Bot. Gard.,66(2): 127,1979	Ann. Missouri Bot. Gard.	Elias, T.S.	1979	
312		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
313		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
314		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
315		Kew Bull.,53(2): 263, fig. 1C-F,1998	Kew Bull.	Kallunki, J.A. & Pirani, J.R.	1998	original description
316		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
317		Candollea,45(1): 368,1990	Candollea	Gereau, R.E.	1990	
318		Acta Amazonica,11: 851,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
319		Kew Bull.,53(2): 264, fig. 1A, B.,1998	Kew Bull.	Kallunki, J.A.	1998	original description
320		Acta Amazonica,11: 852,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
321		Revista Brasil. Biol.,50(4): 1087,1991	Revista Brasil. Biol.	Rizzini, C. T.	1991	original description
322		Acta Amazonica,11: 852,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
323		Revista Brasil. Biol.,50(4): 1085,1990	Revista Brasil. Biol.	Rizzini, C. T.	1990	original description
324		Taxon,19: 575,1970	Taxon	Elias, T.S.	1970	
325		Acta Amazonica,11: 852,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
326		Acta Amazonica,11: 852,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
327		Candollea,45: 368,1990	Candollea	Gereau, R.E.	1990	
328		Acta Amazonica,11: 852,1981	Acta Amazonica	Albuquerque, B.W.P.	1981	
339		Gard. Dict., ed. 8.1768	Gard. Dict., ed. 8.	Miller	1768	
341		Hooker's Icon. Pl.,13: t. 1203-1204,1877	Hooker's Icon. Pl.		1877	
342		Brittonia,50(3): 359,1998	Brittonia		1998	
343		Nat. Pflanzenfam. [Engler & Prantl],III. 4: 174,1896	Nat. Pflanzenfam. [Engler & Prantl]		1896	
345		Fl. Flumin. Icon.,92,1825	Fl. Flumin. Icon.	Vellozo, J.M. da C.	1825	
348		Mem. Math. Phys. Inst. Par.,1811: 82, t. 10,1811	Mem. Math. Phys. Inst. Par.		1811	
349		Syst. Veg.,1: 780,1825	Syst. Veg.		1825	
350		Syst. Veg.,1: 781,1825	Syst. Veg.		1825	
351		Syst. Veg.,1: 781,1825	Syst. Veg.		1825	
352		Syst. Veg.,1: 780,1825	Syst. Veg.	Sprengel	1825	
353		Syst. Veg.,1: 780,1825	Syst. Veg.	Sprengel	1825	
354		Syst. Veg.,1: 780,1825	Syst. Veg.	Sprengel	1825	
355		Mem. Acad. Roy. Sci. Hist. (Berlin),1802: 27, f.,1804	Mem. Acad. Roy. Sci. Hist. (Berlin)	Willdenow, C.L. von	1804	
