id	relatedResourceID	relationshipOfResource
81795	81783	É sinônimo HETEROTIPICO
138102	135131	É sinônimo HETEROTIPICO
138573	135131	É sinônimo HOMOTIPICO
138581	135131	É sinônimo HOMOTIPICO
117371	135131	É sinônimo BASIONIMO
115640	135131	É sinônimo HETEROTIPICO
136106	135131	É sinônimo HETEROTIPICO
598676	135131	É sinônimo BASIONIMO
596756	135131	É sinônimo HETEROTIPICO
138582	135131	É sinônimo HETEROTIPICO
138574	135131	É sinônimo HETEROTIPICO
579825	96165	É sinônimo HOMOTIPICO
132132	7900	É sinônimo HOMOTIPICO
132795	7900	É sinônimo HOMOTIPICO
595776	7900	É sinônimo HOMOTIPICO
39962	4267	É sinônimo HETEROTIPICO
39903	4267	É sinônimo HETEROTIPICO
39904	4267	É sinônimo HETEROTIPICO
39937	4267	É sinônimo HOMOTIPICO
638320	4267	É sinônimo HETEROTIPICO
75196	74019	É sinônimo HOMOTIPICO
68186	37951	É sinônimo BASIONIMO
22289	105739	É sinônimo HETEROTIPICO
638771	105739	É sinônimo HOMOTIPICO
47065	34475	É sinônimo BASIONIMO
119129	119126	É sinônimo HETEROTIPICO
86322	116968	É sinônimo HETEROTIPICO
135002	116968	É sinônimo BASIONIMO
135003	116968	É sinônimo HOMOTIPICO
39197	20800	É sinônimo HOMOTIPICO
39063	20800	É sinônimo HETEROTIPICO
20816	20800	É sinônimo HETEROTIPICO
37976	11163	É sinônimo BASIONIMO
579892	96258	É sinônimo HETEROTIPICO
579895	96258	É sinônimo HOMOTIPICO
579898	96258	É sinônimo HETEROTIPICO
579902	96258	É sinônimo HETEROTIPICO
579904	96258	É sinônimo HOMOTIPICO
581116	96258	É sinônimo HOMOTIPICO
28879	35503	É sinônimo HOMOTIPICO
12324	65582	É sinônimo HOMOTIPICO
69740	65582	É sinônimo BASIONIMO
70010	65582	É sinônimo HETEROTIPICO
65571	65582	É sinônimo HETEROTIPICO
70011	65582	É sinônimo HETEROTIPICO
70012	65582	É sinônimo HETEROTIPICO
70013	65582	É sinônimo HETEROTIPICO
600276	31960	É sinônimo HOMOTIPICO
580046	97311	É sinônimo HETEROTIPICO
580067	97311	É sinônimo HETEROTIPICO
580068	97311	É sinônimo HETEROTIPICO
52963	7570	É sinônimo HOMOTIPICO
53186	7570	É sinônimo HOMOTIPICO
15545	33606	É sinônimo HOMOTIPICO
59436	8182	É sinônimo HOMOTIPICO
58928	8182	É sinônimo BASIONIMO
86301	24103	É sinônimo HOMOTIPICO
607799	24103	É sinônimo HETEROTIPICO
86916	86871	É sinônimo BASIONIMO
97209	603288	É sinônimo HOMOTIPICO
97213	603289	É sinônimo HOMOTIPICO
601853	103152	É sinônimo HETEROTIPICO
601918	103152	É sinônimo HETEROTIPICO
125415	103152	É sinônimo HOMOTIPICO
124788	23466	É sinônimo HETEROTIPICO
124787	23466	É sinônimo HETEROTIPICO
124785	23466	É sinônimo BASIONIMO
124786	23466	É sinônimo HETEROTIPICO
84537	23466	É sinônimo HETEROTIPICO
124789	23466	É sinônimo HETEROTIPICO
124793	23466	É sinônimo HETEROTIPICO
124794	23466	É sinônimo HETEROTIPICO
124796	23466	É sinônimo HETEROTIPICO
84543	23466	É sinônimo HETEROTIPICO
124791	23466	É sinônimo HETEROTIPICO
605793	23466	É sinônimo HETEROTIPICO
84545	23466	É sinônimo HETEROTIPICO
605794	23466	É sinônimo HETEROTIPICO
605795	23466	É sinônimo HETEROTIPICO
124795	23466	É sinônimo HETEROTIPICO
124792	23466	É sinônimo HETEROTIPICO
124790	23466	É sinônimo HETEROTIPICO
605907	23466	É sinônimo HETEROTIPICO
636745	23466	É sinônimo HETEROTIPICO
30007	7939	É sinônimo HETEROTIPICO
133448	7939	É sinônimo HETEROTIPICO
133450	7939	É sinônimo HETEROTIPICO
133451	7939	É sinônimo HOMOTIPICO
133453	7939	É sinônimo HETEROTIPICO
133454	7939	É sinônimo HOMOTIPICO
133457	7939	É sinônimo HETEROTIPICO
133642	7939	É sinônimo HETEROTIPICO
133644	7939	É sinônimo HETEROTIPICO
133645	7939	É sinônimo HETEROTIPICO
595949	7939	É sinônimo HETEROTIPICO
635262	7939	É sinônimo HETEROTIPICO
30748	9790	É sinônimo HETEROTIPICO
601539	9790	É sinônimo HETEROTIPICO
30266	19342	É sinônimo HETEROTIPICO
19341	19342	É sinônimo HETEROTIPICO
103621	19342	É sinônimo HETEROTIPICO
103603	19342	É sinônimo HETEROTIPICO
27515	27511	É sinônimo HETEROTIPICO
123075	123074	É sinônimo HETEROTIPICO
45659	5863	É sinônimo HETEROTIPICO
45932	5863	É sinônimo BASIONIMO
46380	5863	É sinônimo HETEROTIPICO
45658	5863	É sinônimo HETEROTIPICO
46382	5863	É sinônimo HETEROTIPICO
45978	5863	É sinônimo HETEROTIPICO
46536	34394	É sinônimo HETEROTIPICO
46533	34394	É sinônimo HETEROTIPICO
47197	34394	É sinônimo HETEROTIPICO
46539	34394	É sinônimo HETEROTIPICO
46326	34394	É sinônimo BASIONIMO
46353	34394	É sinônimo HETEROTIPICO
46585	34394	É sinônimo HETEROTIPICO
97214	603290	É sinônimo HOMOTIPICO
579671	603290	
77265	33157	É sinônimo HOMOTIPICO
631926	594498	É sinônimo HETEROTIPICO
131169	131170	É sinônimo BASIONIMO
131828	131170	É sinônimo HOMOTIPICO
128387	17026	É sinônimo HETEROTIPICO
582293	17026	É sinônimo HOMOTIPICO
582292	17026	É sinônimo HETEROTIPICO
56352	35826	É sinônimo HOMOTIPICO
138994	9313	É sinônimo HETEROTIPICO
138996	9313	É sinônimo BASIONIMO
138997	9313	É sinônimo HETEROTIPICO
18633	112209	É sinônimo HETEROTIPICO
581073	97860	
596464	6963	É sinônimo HOMOTIPICO
134467	30394	É sinônimo BASIONIMO
581609	96998	É sinônimo HOMOTIPICO
581610	96998	É sinônimo HETEROTIPICO
581678	96998	É sinônimo HOMOTIPICO
